artist_id,artist_name
隔壁老樊,12429072
柏松,31876221
薛之谦,5781
林俊杰,3684
陈奕迅,2116
许嵩,5771
颜人中,31376161
en,32220939
沈以诚,12002248
徐秉龙,1197168
李荣浩,4292
华晨宇,861777
林宥嘉,3685
毛不易,12138269
宝石gem,12084497
阿冗,30116848
尚士达,13608761
枯木逢春,30284835
汪苏泷,5538
解忧邵帅,29392693
张学友,6460
王嘉尔,1083118
接个吻，开一枪,12085016
王小帅,29069586
王巨星,32399227
焦迈奇,12084229
Lil Ghost小鬼,12493781
郭顶,2843
永彬Ryan.B,12448205
葛东琪,12136078
尤长靖,13058503
小咪,30616479
cv初恋,33191836
张国荣,6457
赵雷,6731
张杰,6472
巧乐兹,31255686
陈阳,28602303
Ice Paper,12121264
王力宏,5346
福克斯,1199064
李代沫,4393
许巍,5770
张敬轩,6462
王恩信Est,12904290
杨宗纬,6066
井胧,31253654
周杰伦,6452
刘德华,3691
刘聪KEY.L,12788674
浪子康,12570153
朴树,4721
周柏豪,6479
潘玮柏,4723
张宇,6469
王泽科,12091048
陈鸿宇,1058228
王以太,12236125
吕口口,28304831
虎二,12286700
阿虾,31093891
张紫豪,13906123
马良,13609637
周兴哲,980025
林啟得,12003125
吴青峰,187229
张震岳,6453
G2er,12027122
李克勤,3699
Lambert,31668975
BigYear大年,12227290
法老,865007
艾热,1203045
周传雄,6652
Jony J,784257
吴亦凡,964108
徐梦圆,1142042
周深,1030001
马雨阳,826336
萧忆情Alex,1132127
Todd Li,12268138
杨和苏KeyNG,13899303
Ayo97,12287118
千里狗,12538467
摩登兄弟刘宇宁,1094010
陈雪燃,14420803
陶喆,5196
胡彦斌,3066
野区歌神,15060490
蒋蒋,188694
谭咏麟,5205
简弘亦,5001
陈小春,2112
阿'Quan,31093298
周华健,6456
陈泫孝（大泫）,13933117
赵砚卿,32846313
张泽熙,28633062
光泽,12136042
安筱冷,28387245
隔壁老樊,12429072
沈以诚,12002248
徐秉龙,1197168
毛不易,12138269
宝石gem,12084497
阿冗,30116848
尚士达,13608761
枯木逢春,30284835
解忧邵帅,29392693
接个吻，开一枪,12085016
王小帅,29069586
焦迈奇,12084229
巧乐兹,31255686
陈阳,28602303
福克斯,1199064
王恩信Est,12904290
井胧,31253654
刘聪KEY.L,12788674
浪子康,12570153
王以太,12236125
吕口口,28304831
虎二,12286700
阿虾,31093891
张紫豪,13906123
马良,13609637
林啟得,12003125
G2er,12027122
BigYear大年,12227290
艾热,1203045
徐梦圆,1142042
Todd Li,12268138
Ayo97,12287118
千里狗,12538467
野区歌神,15060490
阿'Quan,31093298
张泽熙,28633062
吉野千夜,13449630
隆历奇,12065015
南子,13796614
孟凡明,12270575
大壮,12146142
杜宣达达达,12060040
沈虫虫,12275389
$CC731,1159101
姜鹏Calm,13793914
еяхат музыка,13286745
承利,1140028
可有道,30476442
Abdulla Abdurehim 阿不都拉,30709773
刘思鉴,12798217
逆时针向,12128251
暗杠,1198010
C.vo,12185665
苏靖凯,27906095
崔铭嘉,13681463
排骨教主,12083175
LookedatHerFore,13610762
羽肿,12094419
齐一,1159045
ICE,13145283
张小九,12002056
Corki,14608268
MOMINJAN_ABLIKIM穆明江,12570017
DJ阿超,30600467
YKEY,12083570
广东雨神,12760978
刘炫廷,12157298
张小伙,12699514
巴音汗,12464053
张雪飞,12138252
SeanT肖恩恩,12071015
浪子鹏鹏,30477866
大喜,12270100
ZzHhOoUuZzHhAaNnGgYu,12497529
蔡耀轩,30000267
Lil Jet,12079066
前男友,12287780
田新宇,28611837
栗先达,12027624
李欣龙啊,13113634
马也_Crabbit,13288861
大傻DamnShine,12605500
钱正昊,12118230
黑崎子,12282733
徐真真,12094099
太一,12156137
